csv_row,project_code,project_name,survey_woreda,survey_parent,match_status,match_method,boundary_woreda,boundary_zone,boundary_region,boundary_pcode
2,P176327,Ethiopia Flood Management Project,Merti,Arsi,matched,exact,Merti,Arsi,Oromia,ET040801
2,P176327,Ethiopia Flood Management Project,Arba Minch Zuria,Gamo,matched,exact,Arba Minch Zuria,Gamo,South Ethiopia,ET080202
2,P176327,Ethiopia Flood Management Project,Arba Minch town,Gamo,matched,exact,Arba Minch town,Gamo,South Ethiopia,ET080201
3,P148850,Ethiopia Expressway Development Support,Arsi Negele,West Arsi,matched,exact,Arsi Negele,West Arsi,Oromia,ET041703
3,P148850,Ethiopia Expressway Development Support,Adama Tulu Jido Kombolcha,East Shewa,matched,exact,Adama Tulu Jido Kombolcha,East Shewa,Oromia,ET040708
5,P178047,Development Response to Displacement Impact Project in the Horn of Africa Phase II,Dabat,North Gondar,matched,exact,Dabat,North Gondar,Amhara,ET030105
5,P178047,Development Response to Displacement Impact Project in the Horn of Africa Phase II,Dabat town,North Gondar,matched,exact,Dabat town,North Gondar,Amhara,ET030106
5,P178047,Development Response to Displacement Impact Project in the Horn of Africa Phase II,Mao Komo special woreda,Mao Komo special woreda,matched,alias,Maokomo Special,Mao Komo Special,Benishangul Gumuz,ET060508
5,P178047,Development Response to Displacement Impact Project in the Horn of Africa Phase II,Bambasi,Assosa,matched,exact,Bambasi,Assosa,Benishangul Gumuz,ET060305
5,P178047,Development Response to Displacement Impact Project in the Horn of Africa Phase II,Homosha,Assosa,matched,exact,Homosha,Assosa,Benishangul Gumuz,ET060307
5,P178047,Development Response to Displacement Impact Project in the Horn of Africa Phase II,Assosa town,Assosa,matched,normalized,Assosa town Administration,Assosa,Benishangul Gumuz,ET060309
5,P178047,Development Response to Displacement Impact Project in the Horn of Africa Phase II,Abrahmo,Assosa,matched,exact,Abrahmo,Assosa,Benishangul Gumuz,ET060303
5,P178047,Development Response to Displacement Impact Project in the Horn of Africa Phase II,Bambasi town,Assosa,matched,exact,Bambasi town,Assosa,Benishangul Gumuz,ET060310
5,P178047,Development Response to Displacement Impact Project in the Horn of Africa Phase II,Ura,Assosa,matched,exact,Ura,Assosa,Benishangul Gumuz,ET060311
5,P178047,Development Response to Displacement Impact Project in the Horn of Africa Phase II,Itang special woreda,Itang special woreda,matched,normalized,Itang,Itang Special woreda,Gambela,ET120407
5,P178047,Development Response to Displacement Impact Project in the Horn of Africa Phase II,Gambela Zuria,Anuak,matched,exact,Gambela Zuria,Agnewak,Gambela,ET120202
5,P178047,Development Response to Displacement Impact Project in the Horn of Africa Phase II,Gog,Anuak,matched,exact,Gog,Agnewak,Gambela,ET120203
5,P178047,Development Response to Displacement Impact Project in the Horn of Africa Phase II,Dima (GM),Anuak,matched,exact,Dima (GM),Agnewak,Gambela,ET120205
5,P178047,Development Response to Displacement Impact Project in the Horn of Africa Phase II,Gambela town,Anuak,matched,exact,Gambela town,Agnewak,Gambela,ET120206
5,P178047,Development Response to Displacement Impact Project in the Horn of Africa Phase II,Lare,Nuer,matched,exact,Lare,Nuwer,Gambela,ET120102
5,P178047,Development Response to Displacement Impact Project in the Horn of Africa Phase II,Dolobay,Afder,matched,exact,Dolobay,Afder,Somali,ET050808
5,P178047,Development Response to Displacement Impact Project in the Horn of Africa Phase II,Aw-Bare,Fafan,matched,exact,Aw-Bare,Fafan,Somali,ET050205
5,P178047,Development Response to Displacement Impact Project in the Horn of Africa Phase II,Kebribeyah,Fafan,matched,exact,Kebribeyah,Fafan,Somali,ET050206
5,P178047,Development Response to Displacement Impact Project in the Horn of Africa Phase II,Kebribayah town,Fafan,matched,exact,Kebribayah town,Fafan,Somali,ET050296
5,P178047,Development Response to Displacement Impact Project in the Horn of Africa Phase II,Dolo Ado,Liben,matched,exact,Dolo Ado,Liban,Somali,ET050902
5,P178047,Development Response to Displacement Impact Project in the Horn of Africa Phase II,Bokolmayo,Liben,matched,exact,Bokolmayo,Liban,Somali,ET050999
6,P151294,Oromia Forested Landscape Program Emission Reduction,Merti,Arsi,matched,exact,Merti,Arsi,Oromia,ET040801
6,P151294,Oromia Forested Landscape Program Emission Reduction,Aseko,Arsi,matched,exact,Aseko,Arsi,Oromia,ET040802
6,P151294,Oromia Forested Landscape Program Emission Reduction,Golocha,Arsi,matched,alias,Gololcha,Arsi,Oromia,ET040803
6,P151294,Oromia Forested Landscape Program Emission Reduction,Jeju,Arsi,matched,exact,Jeju,Arsi,Oromia,ET040804
6,P151294,Oromia Forested Landscape Program Emission Reduction,Dodota,Arsi,matched,exact,Dodota,Arsi,Oromia,ET040805
6,P151294,Oromia Forested Landscape Program Emission Reduction,Ziway Dugda,Arsi,matched,exact,Ziway Dugda,Arsi,Oromia,ET040806
6,P151294,Oromia Forested Landscape Program Emission Reduction,Hitosa,Arsi,matched,exact,Hitosa,Arsi,Oromia,ET040807
6,P151294,Oromia Forested Landscape Program Emission Reduction,Sude,Arsi,matched,exact,Sude,Arsi,Oromia,ET040808
6,P151294,Oromia Forested Landscape Program Emission Reduction,Chole,Arsi,matched,exact,Chole,Arsi,Oromia,ET040809
6,P151294,Oromia Forested Landscape Program Emission Reduction,Amigna,Arsi,matched,exact,Amigna,Arsi,Oromia,ET040810
6,P151294,Oromia Forested Landscape Program Emission Reduction,Seru,Arsi,matched,exact,Seru,Arsi,Oromia,ET040811
6,P151294,Oromia Forested Landscape Program Emission Reduction,Robe,Arsi,matched,exact,Robe,Arsi,Oromia,ET040812
6,P151294,Oromia Forested Landscape Program Emission Reduction,Tena,Arsi,matched,exact,Tena,Arsi,Oromia,ET040813
6,P151294,Oromia Forested Landscape Program Emission Reduction,Shirka,Arsi,matched,exact,Shirka,Arsi,Oromia,ET040814
6,P151294,Oromia Forested Landscape Program Emission Reduction,Degeluna Tijo,Arsi,matched,exact,Degeluna Tijo,Arsi,Oromia,ET040815
6,P151294,Oromia Forested Landscape Program Emission Reduction,Tiyo,Arsi,matched,exact,Tiyo,Arsi,Oromia,ET040816
6,P151294,Oromia Forested Landscape Program Emission Reduction,Munessa,Arsi,matched,exact,Munessa,Arsi,Oromia,ET040817
